id;domanda;risposta_1;risposta_2;risposta_3
1;withdrawal;copying Rubber;Fundamental;COM Chief
2;data-warehouse;Metal;JBOD Idaho Usability;Ports Metal Taka
3;navigating Sausages;Licensed;Frozen turquoise Direct;Somoni Computers compress
4;collaborative;lavender Idaho;1080p South Dakota Sleek Plastic Bike;Executive Specialist New Leu
5;South Dakota Planner;XSS;Credit Card Account Bedfordshire ability;Wooden
6;sticky;ADP;Mexican Peso Mexican Unidad de Inversion (UDI) Global;Bacon Czech Republic
7;Cuban Peso Peso Convertible;Electronics Architect Handcrafted;Metrics;Music Sausages
8;backing up Island Dynamic;Practical Metal Bacon Intranet seamless;cross-platform Licensed Soft Keyboard;Manager
9;payment;Intelligent Frozen Soap aggregate intuitive;Metal;Idaho IB
10;Stream open-source enterprise;Sudanese Pound navigating Balboa US Dollar;incubate Kids;1080p Progressive
