id;titolo;domanda;primarisposta;secondarisposta;terzarisposta;datacreazione
1;withdrawal;copying Rubber;Fundamental;COM Chief;data-warehouse;2020-12-03
2;Tanzanian Shilling;Planner Upgradable Assistant;deposit payment;Buckinghamshire;Sausages yellow;2020-12-02
3;Frozen turquoise Direct;Somoni Computers compress;collaborative;lavender Idaho;1080p South Dakota Sleek Plastic Bike;2020-12-02
4;Frozen needs-based payment;mobile Alaska;Assistant Credit Card Account Bedfordshire;Computers;Wooden;2020-12-03
5;tangible;bandwidth Vermont;Florida connecting;Handcrafted Concrete Sausages;silver;2020-12-03
6;withdrawal;Director Music Sausages;backing up Island Dynamic;Practical Metal Bacon Intranet seamless;cross-platform Licensed Soft Keyboard;2020-12-03
7;Distributed payment auxiliary;Communications;grey Concrete;withdrawal;Synergistic parsing;2020-12-03
8;open-source enterprise Russian Ruble;navigating Balboa US Dollar Maryland;Kids Square;Progressive firewall Cambridgeshire;Avon Auto Loan Account primary;2020-12-03
9;concept withdrawal Virtual;Handmade Metal Chips reboot Refined;copy Agent system;pink;Grocery contextually-based Saint Helena Pound;2020-12-02
10;WaysX;navigate Incredible Steel Ball;protocol;holistic Cross-platform Licensed;Dynamic Alabama;2020-12-02
